saison;dateMatch;Journee;adversaire;lieu;Joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge;TAB_Marque;TAB_Rate
2012/13;2012-09-19;1;FAR;Extérieur;N. El Myaghri;Tit.;90;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;M. Lamssen;Tit.;90;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;Y. Rabeh;Tit.;90;;1.0;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;S. Fettah;Tit.;90;;1.0;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;Y. El Mankari;Tit.;90;;1.0;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;P. Andersson;Tit.;90;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;B. El Hilali;Tit.;90;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;M. Berrabah;Tit.;90;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;A. Lamnasfi;Tit.;67;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;L. Mouithys;Tit.;56;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;F. Ondama;Tit.;75;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;O. Ghareb;Remp.;23;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;O. Najdi;Remp.;15;;;;0;0
2012/13;2012-09-19;1;FAR;Extérieur;Y. El Houassi;Remp.;34;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;N. El Myaghri;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;M. Lamssen;Tit.;73;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;Y. Rabeh;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;O. Ghareb;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;S. Fettah;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;Y. El Mankari;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;P. Andersson;Tit.;66;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;M. Berrabah;Tit.;90;;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;A. Lamnasfi;Tit.;90;;1.0;;0;0
2012/13;2012-09-23;2;OCK;Domicile;O. Najdi;Tit.;90;1.0;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;F. Ondama;Tit.;90;1.0;;;0;0
2012/13;2012-09-23;2;OCK;Domicile;B. Koné;Remp.;24;;1.0;;0;0
2012/13;2012-09-23;2;OCK;Domicile;A. Kacimi;Remp.;17;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;N. El Myaghri;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;M. Lamssen;Tit.;81;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;Y. Rabeh;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;O. Ghareb;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;S. Fettah;Tit.;76;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;Y. El Mankari;Tit.;34;;1.0;1.0;0;0
2012/13;2012-09-30;3;MAS;Extérieur;B. Koné;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;H. El Amrani;Tit.;90;;1.0;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;B. El Hilali;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;O. Najdi;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;F. Ondama;Tit.;90;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;A. Skouma;Remp.;14;;;;0;0
2012/13;2012-09-30;3;MAS;Extérieur;O. Attayat Lah;Remp.;9;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;N. El Myaghri;Tit.;90;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;M. Lamssen;Tit.;90;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;H. El Amrani;Tit.;90;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;O. Ghareb;Tit.;90;;1.0;;0;0
2012/13;2012-10-25;4;CODM;Domicile;L. Mouithys;Tit.;75;1.0;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;B. Koné;Tit.;90;1.0;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;J. Issen;Tit.;83;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;B. El Hilali;Tit.;88;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;Y. El Mankari;Tit.;90;;;;0;0
2012/13;2012-10-25;4;CODM;Domicile;M. Berrabah;Tit.;90;;;;0;0
