Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2017;2017-10-28;Finale;Al Ahly;Extérieur;Z. Laaroubi;Tit.;90;;1;
2017;2017-10-28;Finale;Al Ahly;Extérieur;A. Noussair;Tit.;90;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;Y. Rabah;Tit.;90;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;M. Ouatara;Tit.;90;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;W. El Karti;Tit.;90;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;S. Saidi;Tit.;90;;1;
2017;2017-10-28;Finale;Al Ahly;Extérieur;B. Gadarine;Tit.;90;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;M. Ounajem;Tit.;27;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;B. Nekkach;Tit.;90;;1;
2017;2017-10-28;Finale;Al Ahly;Extérieur;A. Bencharki;Tit.;90;1;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;I. Haddad;Tit.;83;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;A. Khadrouf;Remp.;63;;;
2017;2017-10-28;Finale;Al Ahly;Extérieur;G. Nicaise Daho;Remp.;7;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;Z. Laaroubi;Tit.;90;;1;
2017;2017-11-04;Finale;Al Ahly;Domicile;A. Noussair;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;Y. Rabah;Tit.;90;;1;
2017;2017-11-04;Finale;Al Ahly;Domicile;A. Attouchi;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;W. El Karti;Tit.;90;1;;
2017;2017-11-04;Finale;Al Ahly;Domicile;S. Saidi;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;B. Gadarine;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;A. Khadrouf;Tit.;86;;1;
2017;2017-11-04;Finale;Al Ahly;Domicile;B. Nekkach;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;A. Bencharki;Tit.;90;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;I. Haddad;Tit.;89;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;M. Ouatara;Remp.;1;;;
2017;2017-11-04;Finale;Al Ahly;Domicile;Z. El Hachimi;Remp.;4;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;Z. Laaroubi;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;A. Noussair;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;Y. Rabah;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;A. Attouchi;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;W. El Karti;Tit.;88;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;S. Saidi;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;B. Gadarine;Tit.;90;;1;
2017;2017-09-29;Demi-finale;MCO;Extérieur;M. Ounajem;Tit.;86;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;B. Nekkach;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;A. Bencharki;Tit.;90;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;G. Nicaise Daho;Tit.;72;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;A. Khadrouf;Remp.;2;;;
2017;2017-09-29;Demi-finale;MCO;Extérieur;I. Haddad;Remp.;18;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;Z. Laaroubi;Tit.;90;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;A. Noussair;Tit.;90;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;Y. Rabah;Tit.;90;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;A. Attouchi;Tit.;90;;1;1
2017;2017-10-21;Demi-finale;MCO;Domicile;W. El Karti;Tit.;90;1;;
2017;2017-10-21;Demi-finale;MCO;Domicile;S. Saidi;Tit.;90;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;B. Gadarine;Tit.;74;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;M. Ounajem;Tit.;90;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;B. Nekkach;Tit.;90;;1;
2017;2017-10-21;Demi-finale;MCO;Domicile;A. Bencharki;Tit.;90;2;;
2017;2017-10-21;Demi-finale;MCO;Domicile;I. Haddad;Tit.;64;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;A. Khadrouf;Remp.;26;;;
2017;2017-10-21;Demi-finale;MCO;Domicile;Z. El Hachimi;Remp.;16;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;Z. Laaroubi;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;B. Gadarine;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;A. Noussair;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;Y. Rabah;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;A. Attouchi;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;S. Saidi;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;J. Ait Ben Idder;Tit.;67;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;B. Nekkach;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;G. Nicaise Daho;Tit.;90;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;I. Haddad;Tit.;78;;1;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;M. Ounajem;Tit.;90;;1;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;A. Khadrouf;Remp.;12;;;
2017;2017-09-17;Quart-finale / Aller;Sundowns / AFS;Extérieur;W. El Karti;Remp.;23;;;
2017;2017-09-23;Quart-finale / Retour;Sundowns / AFS;Domicile;Z. Laaroubi;Tit.;90;;;
2017;2017-09-23;Quart-finale / Retour;Sundowns / AFS;Domicile;B. Gadarine;Tit.;90;;;
2017;2017-09-23;Quart-finale / Retour;Sundowns / AFS;Domicile;A. Noussair;Tit.;90;;1;
2017;2017-09-23;Quart-finale / Retour;Sundowns / AFS;Domicile;Y. Rabah;Tit.;90;;;
