Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
2017;2017-10-28;Finale;Al Ahly;Champions league;Extérieur;1-1
2017;2017-11-04;Finale;Al Ahly;Champions league;Domicile;1-0
2017;2017-09-29;Demi-finale;MCO;Champions league;Extérieur;0-0
2017;2017-10-21;Demi-finale;MCO;Champions league;Domicile;3-1
2017;2017-09-17;Quart-finale;Sundowns / AFS;Champions league;Extérieur;0-1
2017;2017-09-23;Quart-finale;Sundowns / AFS;Champions league;Domicile;1-0
2020/21;2020-12-23;Deuxième tour;Stade Malien;Champions league;Extérieur;0-1
2020/21;2021-01-06;Deuxième tour;Stade Malien;Champions league;Domicile;3-0
2020/21;2021-02-23;Phase de poules;Petro Luanda;Champions league;Extérieur;1-0
2020/21;2021-02-28;Phase de poules;Kaizer Chiefs;Champions league;Domicile;4-0
2020/21;2021-03-06;Phase de poules;Horoya;Champions league;Domicile;2-0
2020/21;2021-03-16;Phase de poules;Horoya;Champions league;Extérieur;0-0
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Champions league;Extérieur;0-1
2020/21;2021-04-10;Phase de poules;Petro Luanda;Champions league;Domicile;2-0
2020/21;2021-05-14;Quart-finale;MCA;Champions league;Extérieur;1-1
2020/21;2021-05-22;Quart-finale;MCA;Champions league;Domicile;1-0
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Champions league;Domicile;0-1
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Champions league;Extérieur;0-0
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Champions league;Extérieur;1-0
2021/22;2021-10-24;Deuxième tour;Herats of Oak;Champions league;Domicile;6-1
2021/22;2022-02-11;Phase de poules;Sagrada EsperanÈa;Champions league;Domicile;3-0
2021/22;2022-02-19;Phase de poules;Petro Luanda;Champions league;Extérieur;1-2
2021/22;2022-02-26;Phase de poules;Zamalek;Champions league;Domicile;3-1
2021/22;2022-03-11;Phase de poules;Zamalek;Champions league;Extérieur;1-0
2021/22;2022-03-19;Phase de poules;Sagrada EsperanÈa;Champions league;Extérieur;2-1
2021/22;2022-04-02;Phase de poules;Petro Luanda;Champions league;Domicile;5-1
2021/22;2022-04-16;Quart-finale;CR Belouizdad;Champions league;Extérieur;1-0
2021/22;2022-04-23;Quart-finale;CR Belouizdad;Champions league;Domicile;0-0
2021/22;2022-05-07;Demi-finale;Petro Luanda;Champions league;Extérieur;3-1
2021/22;2022-05-13;Demi-finale;Petro Luanda;Champions league;Domicile;1-1
2021/22;2022-05-30;Finale;Al Ahly;Champions league;Neutre;2-0
2022/23;2022-10-09;DeuxiÈme tour;Rivers United;Champions league;Extérieur;1-2
2022/23;2022-10-16;DeuxiÈme tour;Rivers United;Champions league;Domicile;6-0
