Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1956-57;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;0-0
1956-57;;;Mouloudia Club Oujda;Championnat;Domicile;1-1
1956-57;;;Tihad Athletic Sport;Championnat;Domicile;1-1
1956-57;;;Fath Union Sport;Championnat;Domicile;1-0
1956-57;;;Union Sportive Marocaine;Championnat;Domicile;3-1
1956-57;;;Maghreb Association Sportive;Championnat;Domicile;4-3
1956-57;;;Racing Athletic Club;Championnat;Domicile;2-1
1956-57;;;Difaa Hassani Jadidi;Championnat;Domicile;1-1
1956-57;;;Raja Club Athletic;Championnat;Domicile;3-0
1956-57;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1956-57;;;Stade Marocain;Championnat;Domicile;2-0
1956-57;;;Maghreb Athletic Tetouan;Championnat;Domicile;2-0
1956-57;;;ASCOM;Championnat;Domicile;3-1
1956-57;;;SC Club des Roches Noires;Championnat;Domicile;3-1
1956-57;;;Quartier Industriel;Championnat;Domicile;7-1
1956-57;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-0
1956-57;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1956-57;;;Tihad Athletic Sport;Championnat;Exterieur;1-0
1956-57;;;Fath Union Sport;Championnat;Exterieur;2-3
1956-57;;;Union Sportive Marocaine;Championnat;Exterieur;0-0
1956-57;;;Maghreb Association Sportive;Championnat;Exterieur;1-3
1956-57;;;Racing Athletic Club;Championnat;Exterieur;2-0
1956-57;;;Difaa Hassani Jadidi;Championnat;Exterieur;1-1
1956-57;;;Raja Club Athletic;Championnat;Exterieur;0-1
1956-57;;;Kenitra Athletic Club;Championnat;Exterieur;1-0
1956-57;;;Stade Marocain;Championnat;Exterieur;0-1
1956-57;;;Maghreb Athletic Tetouan;Championnat;Exterieur;3-1
1956-57;;;ASCOM;Championnat;Exterieur;2-1
1956-57;;;SC Club des Roches Noires;Championnat;Exterieur;1-0
1956-57;;;Quartier Industriel;Championnat;Exterieur;3-0
1957-58;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;1-0
1957-58;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-1
1957-58;;;Tihad Athletic Sport;Championnat;Domicile;0-0
1957-58;;;Raja Club Athletic;Championnat;Domicile;1-1
1957-58;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1957-58;;;Mouloudia Club Oujda;Championnat;Domicile;1-2
1957-58;;;Fath Union Sport;Championnat;Domicile;1-0
1957-58;;;Difaa Hassani Jadidi;Championnat;Domicile;3-2
1957-58;;;Rachad de Meknes;Championnat;Domicile;1-0
1957-58;;;Racing Athletic Club;Championnat;Domicile;1-0
